frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.210  submit 0.739  passA 4.407  passW 0.105  passB 19.708  gpu 24.116  total 30.298 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.225  submit 0.281  passA 8.315  passW 0.255  passB 45.688  gpu 54.004  total 56.888 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.208  submit 0.293  passA 4.626  passW 0.112  passB 21.274  gpu 25.902  total 27.931 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.233  submit 1.022  passA 9.575  passW 0.265  passB 109.071  gpu 118.646  total 120.754 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.787  submit 0.284  passA 4.468  passW 0.106  passB 20.976  gpu 25.445  total 31.501 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.232  submit 0.275  passA 8.270  passW 1.370  passB 43.776  gpu 52.048  total 54.071 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.283  submit 0.365  passA 4.609  passW 0.115  passB 22.127  gpu 26.737  total 29.637 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.227  submit 0.976  passA 8.407  passW 0.267  passB 110.596  gpu 119.003  total 120.366 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.651  submit 0.287  passA 4.534  passW 0.109  passB 20.998  gpu 25.534  total 31.578 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.228  submit 0.304  passA 8.287  passW 1.392  passB 45.009  gpu 53.297  total 55.251 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.206  submit 0.270  passA 4.670  passW 0.115  passB 21.752  gpu 26.423  total 28.364 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.215  submit 1.121  passA 9.483  passW 0.265  passB 108.789  gpu 118.272  total 119.786 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.220  submit 0.283  passA 4.582  passW 0.114  passB 21.555  gpu 26.138  total 32.197 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.297  submit 0.290  passA 8.124  passW 0.227  passB 43.133  gpu 51.258  total 53.235 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.419  submit 0.295  passA 3.893  passW 0.911  passB 23.120  gpu 27.014  total 30.052 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.187  submit 0.229  passA 0.409  passW 0.008  passB 0.312  gpu 0.721  total 1.259 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.232  submit 0.595  passA 10.943  passW 0.286  passB 105.768  gpu 116.713  total 117.714 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.458  submit 0.376  passA 8.537  passW 0.258  passB 46.346  gpu 54.884  total 61.150 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.306  submit 0.779  passA 11.050  passW 0.288  passB 106.494  gpu 117.545  total 119.522 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.321  submit 0.294  passA 8.581  passW 0.268  passB 46.903  gpu 55.485  total 61.896 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.295  submit 0.835  passA 10.938  passW 0.304  passB 105.740  gpu 116.679  total 118.686 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.293  submit 0.309  passA 8.619  passW 0.258  passB 46.714  gpu 55.334  total 62.226 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.315  submit 0.703  passA 11.194  passW 0.282  passB 106.133  gpu 117.328  total 118.621 ms
frame 56: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.300  submit 0.310  passA 8.619  passW 0.252  passB 46.760  gpu 55.380  total 61.389 ms
frame 57: 57734 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.293  submit 0.645  passA 10.952  passW 0.286  passB 105.850  gpu 116.803  total 118.745 ms
frame 58: 57605 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.296  submit 0.312  passA 8.569  passW 0.252  passB 46.869  gpu 55.439  total 61.506 ms
frame 59: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.295  submit 0.686  passA 10.993  passW 0.280  passB 106.965  gpu 117.957  total 119.907 ms
frame 60: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.334  submit 0.318  passA 11.032  passW 0.254  passB 43.994  gpu 55.028  total 61.240 ms
frame 61: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.311  submit 0.677  passA 10.950  passW 0.287  passB 107.612  gpu 118.564  total 120.729 ms
frame 62: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.383  submit 0.270  passA 10.932  passW 0.254  passB 44.129  gpu 55.062  total 60.094 ms
frame 63: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.303  submit 0.668  passA 10.807  passW 0.281  passB 105.983  gpu 116.790  total 118.864 ms
frame 64: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.312  submit 0.299  passA 8.582  passW 0.256  passB 46.577  gpu 55.160  total 59.489 ms
frame 65: 57633 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.285  submit 0.698  passA 10.973  passW 0.325  passB 105.206  gpu 116.180  total 118.123 ms
frame 66: 57527 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.305  submit 0.293  passA 8.557  passW 0.268  passB 46.316  gpu 54.875  total 60.947 ms
frame 67: 57775 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.295  submit 0.698  passA 8.757  passW 0.290  passB 106.565  gpu 115.323  total 117.315 ms
frame 68: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.315  submit 0.287  passA 10.861  passW 0.256  passB 43.720  gpu 54.582  total 59.342 ms
frame 69: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.302  submit 1.340  passA 8.698  passW 0.278  passB 106.381  gpu 115.079  total 119.236 ms
frame 70: 57628 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.338  submit 0.282  passA 10.070  passW 0.258  passB 44.648  gpu 54.719  total 59.385 ms
frame 71: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.335  submit 0.790  passA 10.200  passW 0.280  passB 107.248  gpu 117.450  total 119.553 ms
frame 72: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.207  submit 0.271  passA 0.374  passW 0.007  passB 0.236  gpu 0.611  total 5.436 ms
frame 73: 56304 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.360  submit 1.281  passA 11.013  passW 0.275  passB 105.166  gpu 116.180  total 118.006 ms
frame 74: 56771 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.223  submit 0.828  passA 10.874  passW 0.278  passB 54.143  gpu 65.019  total 69.104 ms
frame 75: 56588 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.222  submit 0.820  passA 10.705  passW 0.279  passB 51.513  gpu 62.219  total 64.263 ms
frame 76: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.253  submit 0.828  passA 8.642  passW 1.423  passB 52.259  gpu 60.901  total 64.953 ms
frame 77: 56492 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.248  submit 0.848  passA 9.868  passW 1.077  passB 53.485  gpu 63.355  total 65.976 ms
frame 78: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.230  submit 0.764  passA 9.988  passW 0.280  passB 53.233  gpu 63.223  total 67.871 ms
frame 79: 56382 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.278  submit 0.785  passA 10.650  passW 0.278  passB 50.714  gpu 61.365  total 63.414 ms
frame 80: 56849 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.262  submit 0.736  passA 8.706  passW 0.290  passB 54.427  gpu 63.134  total 69.074 ms
frame 81: 56487 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.232  submit 0.763  passA 10.920  passW 0.278  passB 53.262  gpu 64.182  total 66.270 ms
frame 82: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.286  submit 0.767  passA 10.864  passW 0.278  passB 53.277  gpu 64.142  total 69.023 ms
frame 83: 56446 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.283  submit 0.708  passA 10.144  passW 1.091  passB 53.884  gpu 64.029  total 66.677 ms
frame 84: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.236  submit 0.699  passA 10.923  passW 0.281  passB 54.151  gpu 65.075  total 67.028 ms
frame 85: 56510 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.247  submit 0.984  passA 10.916  passW 0.279  passB 50.898  gpu 61.815  total 65.852 ms
frame 86: 56785 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.254  submit 0.737  passA 8.680  passW 0.281  passB 53.519  gpu 62.201  total 66.271 ms
frame 87: 56565 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.236  submit 0.744  passA 10.158  passW 0.279  passB 53.677  gpu 63.835  total 65.903 ms
frame 88: 56826 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.253  submit 0.754  passA 10.147  passW 0.281  passB 53.012  gpu 63.159  total 68.161 ms
frame 89: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.228  submit 0.746  passA 10.872  passW 0.289  passB 53.716  gpu 64.590  total 66.648 ms
frame 90: 57023 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.241  submit 0.815  passA 8.671  passW 0.293  passB 53.708  gpu 62.380  total 64.267 ms
frame 91: 56391 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.269  submit 0.761  passA 10.788  passW 0.278  passB 52.420  gpu 63.208  total 65.219 ms
frame 92: 56762 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.237  submit 0.988  passA 10.105  passW 0.278  passB 53.446  gpu 63.552  total 66.250 ms
frame 93: 56652 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.242  submit 1.069  passA 10.937  passW 0.277  passB 50.776  gpu 61.714  total 63.829 ms
frame 94: 56739 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.243  submit 0.778  passA 8.639  passW 2.310  passB 52.049  gpu 60.688  total 64.712 ms
frame 95: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.238  submit 1.427  passA 9.855  passW 0.283  passB 53.052  gpu 62.908  total 65.645 ms
frame 96: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.176  submit 0.225  passA 0.409  passW 0.008  passB 0.313  gpu 0.723  total 2.594 ms
frame 97: 1308 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.174  submit 0.137  passA 0.394  passW 0.008  passB 0.293  gpu 0.687  total 1.123 ms
frame 98: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.131  submit 0.126  passA 0.359  passW 0.007  passB 0.284  gpu 0.643  total 1.674 ms
frame 99: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.133  submit 0.127  passA 0.358  passW 0.007  passB 0.283  gpu 0.642  total 1.020 ms
frame 100: 1368 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.131  submit 0.136  passA 0.400  passW 0.008  passB 0.377  gpu 0.777  total 1.166 ms
